37	39	42	45	49	57	64	72	76	85	99	111	120	132	155	171	187	224	251	290					
38	39	43	46	50	58	65	73	77	86	100	112	122	135	157	173	192	226	253	295					
39	40	43	46	51	59	65	74	78	87	102	116	124	140	160	175	196	228	255	300					
40	40	44	47	52	60	66	74	79	88	104	118	126	142	165	180	200	230	257	305					
41	41	45	48	53	61	66	75	80	89	106	120	128	146	168	184	203	232	259	310					
42	42	46	50	54	62	67	76	81	90	107	122	131	148	170	187	205	234	261	312					
43	43	46	51	55	63	68	77	82	92	108	124	134	150	172	190	207	236	263	315					
44	43	47	52	56	64	69	78	83	95	110	125	136	152	175	192	210	238	265	318					
45	44	47	53	57	65	70	79	84	97	112	126	138	154	177	194	212	240	267	321					
46	44	48	54	58	66	71	80	86	99	114	127	140	156	180	196	215	242	269	324					
47	44	48	55	59	67	72	81	88	100	116	130	142	159	183	200	217	244	271	327					
48	45	49	56	60	68	73	82	90	102	117	131	144	163	185	204	220	246	273	330					
49	45	50	57	62	69	74	83	92	105	119	132	146	166	189	206	222	248	275	332					
50	46	51	58	63	70	75	85	94	107	120	133	148	170	191	208	226	251	277	334					
51	47	52	59	65	72	78	87	96	110	122	134	150	174	193	210	230	254	280	336					
52	48	54	60	66	74	79	90	98	112	123	135	152	178	195	212	234	257	281	338					
53	48	53	61	66	74	80	89	99	113	125	137	154	180	198	215	234	260	283	340					
54	48	54	62	68	75	82	90	100	115	126	138	156	181	200	218	237	261	285	x					
55	49	54	63	69	76	83	91	101	117	128	140	158	183	203	221	239	264	287						
56	49	55	64	70	78	84	92	103	119	130	141	161	186	205	223	242	266	290						
57	50	56	65	71	79	86	93	104	121	131	142	163	189	208	226	245	268	292						
58	50	57	66	73	80	87	95	106	123	133	144	165	192	210	229	247	270	294						
59	51	57	67	74	81	88	96	108	125	134	145	167	195	213	231	250	273	296						
60	52	58	68	75	82	90	97	109	127	136	147	169	198	216	234	253	275	298						
61	52	59	69	76	84	92	98	111	129	138	148	171	201	218	237	256	278	300						
62	53	60	70	78	85	92	99	113	131	139	149	173	203	221	239	258	280	302						
63	53	60	71	79	86	94	101	114	133	141	151	176	206	223	242	261	282	304						
64	54	61	72	80	87	95	102	116	135	143	152	178	209	226	245	264	285	306						
65	54	62	73	81	89	96	103	117	137	144	154	180	212	228	247	266	287	308						
66	55	63	74	83	90	98	104	119	139	146	155	182	215	231	250	269	289	311						
67	56	64	75	84	91	99	105	121	141	147	157	184	218	234	253	272	292	313						
68	56	64	76	85	92	101	107	122	144	149	158	186	221	236	255	275	294	315						
69	57	65	77	86	93	102	108	124	146	151	159	188	223	239	258	277	297	317						
70	57	66	78	88	95	103	109	125	148	152	161	191	226	241	260	280	299	320						
71	58	67	79	89	96	104	110	126	150	154	163	201	228	243	262	283	302	325						
72	59	68	80	90	97	105	111	128	152	156	165	203	230	245	264	284	305	328						
73	60	69	81	91	98	106	112	129	154	158	167	205	232	248	267	287	309	332						
74	61	70	82	92	99	107	113	130	156	160	169	207	235	251	270	290	313	336						
75	62	71	83	93	100	108	114	131	158	162	171	210	238	254	274	294	317	340						
76	63	72	84	94	101	109	115	132	160	164	173	213	241	257	278	298	321	345						
77	64	73	85	95	102	110	116	133	162	167	175	216	244	260	282	303	326	351						
78	65	74	86	96	103	111	117	135	164	169	178	219	247	264	286	307	331	357						
79	66	75	87	97	104	112	118	137	166	172	181	222	250	268	290	311	336	363						
80	67	76	88	98	105	113	119	139	168	174	184	225	253	272	294	315	341	370						
81	68	77	89	99	106	114	120	141	170	176	186	228	256	276	298	319	346	377						
82	69	78	90	100	107	115	121	142	172	178	188	231	259	280	302	323	351	384						
83	70	79	91	101	108	116	122	143	174	180	190	234	262	284	306	327	356	393						
84	71	80	92	102	109	117	123	145	176	182	192	237	265	288	310	341	361	400						
85	72	81	93	103	110	118	124	147	178	184	195	240	268	302	314	345	366	408						
86	73	82	94	104	111	119	125	148	180	186	198	244	272	306	318	350	372	416						
87	74	83	95	105	112	120	126	150	182	188	201	248	276	310	322	355	378	424						
88	75	84	96	106	113	121	127	152	184	191	204	251	280	314	327	360	384	432						
89	76	85	97	107	114	122	128	154	186	194	207	254	284	318	332	365	390	450						
90	77	86	98	108	115	123	130	156	188	197	210	259	288	322	337	370	396	458						
